[2021-04-05 12:04:01] No settings files found: D:/Mindustry-Server/config/settings.bin and D:/Mindustry-Server/config/settings_backup.bin
[2021-04-05 16:01:02] Saving 7 values; 744 bytes
[2021-04-05 16:02:02] Saving 7 values; 744 bytes
[2021-04-05 16:03:02] Saving 7 values; 744 bytes
[2021-04-05 16:04:02] Saving 7 values; 744 bytes
[2021-04-05 16:05:02] Saving 7 values; 744 bytes
[2021-04-05 16:05:26] Saving 7 values; 744 bytes
[2021-04-05 16:05:26] Saving 7 values; 744 bytes
[2021-04-05 16:05:26] Saving 7 values; 744 bytes
[2021-04-05 16:06:02] Saving 7 values; 744 bytes
[2021-04-05 16:07:02] Saving 7 values; 744 bytes
[2021-04-05 16:08:02] Saving 7 values; 744 bytes
[2021-04-05 16:09:02] Saving 7 values; 744 bytes
[2021-04-05 16:10:02] Saving 7 values; 744 bytes
[2021-04-05 16:11:02] Saving 7 values; 744 bytes
[2021-04-05 16:11:24] Saving 7 values; 744 bytes
[2021-04-05 16:11:24] Saving 7 values; 744 bytes
[2021-04-05 16:11:24] Saving 7 values; 744 bytes
[2021-04-05 16:12:02] Saving 7 values; 744 bytes
[2021-04-05 16:13:02] Saving 7 values; 744 bytes
[2021-04-05 16:14:02] Saving 7 values; 994 bytes
[2021-04-05 16:15:02] Saving 7 values; 994 bytes
[2021-04-05 16:16:02] Saving 7 values; 994 bytes
[2021-04-05 16:17:02] Saving 7 values; 994 bytes
[2021-04-05 16:17:13] Saving 7 values; 994 bytes
[2021-04-05 16:17:13] Saving 7 values; 994 bytes
[2021-04-05 16:17:14] Saving 7 values; 994 bytes
[2021-04-05 16:18:02] Saving 7 values; 994 bytes
[2021-04-05 16:19:02] Saving 7 values; 994 bytes
[2021-04-05 16:20:02] Saving 7 values; 994 bytes
[2021-04-05 16:21:02] Saving 7 values; 994 bytes
[2021-04-05 16:22:02] Saving 7 values; 994 bytes
[2021-04-05 16:23:02] Saving 7 values; 994 bytes
[2021-04-05 16:24:02] Saving 7 values; 994 bytes
[2021-04-05 16:25:02] Saving 7 values; 994 bytes
[2021-04-05 16:26:02] Saving 7 values; 994 bytes
[2021-04-05 16:26:14] Saving 7 values; 994 bytes
[2021-04-05 16:26:14] Saving 7 values; 994 bytes
[2021-04-05 16:26:14] Saving 7 values; 994 bytes
[2021-04-05 16:27:02] Saving 7 values; 994 bytes
[2021-04-05 16:28:02] Saving 7 values; 994 bytes
[2021-04-05 16:29:02] Saving 7 values; 994 bytes
[2021-04-05 16:30:02] Saving 7 values; 994 bytes
[2021-04-05 16:31:02] Saving 7 values; 994 bytes
[2021-04-05 16:32:02] Saving 7 values; 994 bytes
[2021-04-05 16:32:10] Saving 7 values; 994 bytes
[2021-04-05 16:32:10] Saving 7 values; 994 bytes
[2021-04-05 16:32:11] Saving 7 values; 994 bytes
[2021-04-05 16:33:02] Saving 7 values; 994 bytes
[2021-04-05 16:34:02] Saving 7 values; 994 bytes
[2021-04-05 16:35:02] Saving 7 values; 994 bytes
[2021-04-05 16:36:02] Saving 7 values; 994 bytes
[2021-04-05 16:37:02] Saving 7 values; 994 bytes
[2021-04-05 16:37:40] Saving 7 values; 994 bytes
[2021-04-05 16:37:40] Saving 7 values; 994 bytes
[2021-04-05 16:37:40] Saving 7 values; 994 bytes
[2021-04-05 16:38:02] Saving 7 values; 994 bytes
[2021-04-05 16:39:02] Saving 7 values; 994 bytes
